fecha,hora,vuelo,origen,estado
2025-11-10,00:20,IBE5681,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,00:20,QTR3675,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,00:25,RYR4728,MILAN/BERGAMO (BGY),No informado
2025-11-10,00:35,VLG8921,BRUSELAS (BRU),No informado
2025-11-10,00:35,IBE5732,BRUSELAS (BRU),No informado
2025-11-10,00:55,RYR1772,DUBLIN (DUB),No informado
2025-11-10,07:45,SWR2130,GINEBRA (GVA),No informado
2025-11-10,08:00,RYR1003,ROMA /FIUMICINO (FCO),No informado
2025-11-10,08:05,AEA4063,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,08:05,AMX6982,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,08:05,ETD7519,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,08:15,IBE2382,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-10,08:15,VLG5782,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-10,08:20,RYR1848,MEMMINGEN (FMM),No informado
2025-11-10,08:40,VOE3536,BILBAO (BIO),No informado
2025-11-10,08:45,VLG3950,PALMA DE MALLORCA (PMI),No informado
2025-11-10,08:45,IBE5546,PALMA DE MALLORCA (PMI),No informado
2025-11-10,08:45,RYR802,VIENA (VIE),No informado
2025-11-10,09:00,RYR4728,MILAN/BERGAMO (BGY),No informado
2025-11-10,09:05,WZZ2385,BUDAPEST (BUD),No informado
2025-11-10,09:05,IBE1079,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,09:05,VLG5580,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,09:05,QTR6923,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,09:05,AAL8715,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,09:05,AVA6068,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,09:05,RYR4741,POZNAN /LAWICA (POZ),No informado
2025-11-10,09:10,EJU5103,BERLIN BRANDENBURG (BER),No informado
2025-11-10,09:10,IBE2433,IBIZA (IBZ),No informado
2025-11-10,09:10,VLG5833,IBIZA (IBZ),No informado
2025-11-10,09:15,RYR2206,SEVILLA (SVQ),No informado
2025-11-10,09:35,TRA5105,EINDHOVEN (EIN),No informado
2025-11-10,09:55,TRA6337,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,09:55,KLM2523,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,09:55,RYR1714,NANTES-ATLANTIQUE (NTE),No informado
2025-11-10,10:15,RYR1444,MILAN /MALPENSA (MXP),No informado
2025-11-10,10:55,THY1301,ESTAMBUL (IST),No informado
2025-11-10,11:10,EZY8009,LONDRES /GATWICK (LGW),No informado
2025-11-10,11:10,TAP1092,LISBOA (LIS),No informado
2025-11-10,11:10,RZO8055,LISBOA (LIS),No informado
2025-11-10,11:10,ETD2757,LISBOA (LIS),No informado
2025-11-10,11:10,AZU7351,LISBOA (LIS),No informado
2025-11-10,11:20,TVF4620,PARIS /ORLY (ORY),No informado
2025-11-10,11:30,VLG8153,PARIS /ORLY (ORY),No informado
2025-11-10,11:30,IBE5674,PARIS /ORLY (ORY),No informado
2025-11-10,11:35,RYR2257,KOELN/BONN (CGN),No informado
2025-11-10,11:35,RAM968,CASABLANCA /MOHAMED V (CMN),No informado
2025-11-10,11:35,AEA4007,PALMA DE MALLORCA (PMI),No informado
2025-11-10,11:45,VOE2656,LYON (LYS),No informado
2025-11-10,11:50,IBE2402,PALMA DE MALLORCA (PMI),No informado
2025-11-10,12:00,AFR1416,PARIS /CHARLES DE GAULLE (CDG),No informado
2025-11-10,12:05,SWR2140,ZURICH (ZRH),No informado
2025-11-10,12:10,DLH1160,FRANKFURT (FRA),No informado
2025-11-10,12:10,RYR1736,LONDRES /STANSTED (STN),No informado
2025-11-10,12:10,IBB5804,TENERIFE NORTE-C. LA LAGUNA (TFN),No informado
2025-11-10,12:15,RYR1710,OPORTO (OPO),No informado
2025-11-10,12:20,RYR138,BERLIN BRANDENBURG (BER),No informado
2025-11-10,12:20,RYR1768,LISBOA (LIS),No informado
2025-11-10,12:25,VLG8352,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,12:25,IBE5683,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,12:30,RYR1740,DUBLIN (DUB),No informado
2025-11-10,12:45,RYR6836,NAPOLES (NAP),No informado
2025-11-10,12:45,IBE2391,SEVILLA (SVQ),No informado
2025-11-10,12:45,VLG5791,SEVILLA (SVQ),No informado
2025-11-10,12:50,NIA6101,(CAI),No informado
2025-11-10,13:00,RYR952,PISA / GALILEO GALILEI (PSA),No informado
2025-11-10,13:35,RYR645,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-10,13:45,IBE2313,BILBAO (BIO),No informado
2025-11-10,13:45,VLG5713,BILBAO (BIO),No informado
2025-11-10,14:00,EZS1371,GINEBRA (GVA),No informado
2025-11-10,14:10,WMT6317,MILAN /MALPENSA (MXP),No informado
2025-11-10,14:20,RYR643,LONDRES /STANSTED (STN),No informado
2025-11-10,14:30,TVF4624,PARIS /ORLY (ORY),No informado
2025-11-10,14:35,RYR618,TRIESTE (TRS),No informado
2025-11-10,14:40,RYR1687,BRUSELAS /CHARLEROI (CRL),No informado
2025-11-10,14:55,RYR9001,PARIS /BEAUVAIS-TILLE (BVA),No informado
2025-11-10,15:00,VLG4143,(FAO),No informado
2025-11-10,15:15,RYR7215,PALMA DE MALLORCA (PMI),No informado
2025-11-10,15:25,EZS1031,BASEL /MULHOUSE (BSL),No informado
2025-11-10,15:35,RYR9380,BIRMINGHAM / INTERNACIONAL (BHX),No informado
2025-11-10,15:35,RYR2259,TURIN (TRN),No informado
2025-11-10,15:40,RYR5372,FEZ /SAIS (FEZ),No informado
2025-11-10,15:45,IBE2395,SEVILLA (SVQ),No informado
2025-11-10,15:45,VLG5969,SEVILLA (SVQ),No informado
2025-11-10,15:50,BAW410,LONDRES / HEATHROW (LHR),No informado
2025-11-10,16:00,IBE2441,MENORCA (MAH),No informado
2025-11-10,16:00,VLG5841,MENORCA (MAH),No informado
2025-11-10,16:05,VLG3966,BILBAO (BIO),No informado
2025-11-10,16:05,IBE5847,BILBAO (BIO),No informado
2025-11-10,16:10,KLM1531,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,16:15,AEA4065,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,16:15,CES4976,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,16:15,MEA4065,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,16:15,AMX6858,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,16:15,ITY2403,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,16:15,ASL7495,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,16:15,ETD7591,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,16:50,VOE3582,ASTURIAS (OVD),No informado
2025-11-10,17:05,IBE1081,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,17:05,VLG5582,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,17:05,RAM5440,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,17:05,AAL8714,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,17:05,LAN1718,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,17:05,AVA6104,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
