id,name,iata,icao,callsign,country,active
2543,German Air Force,,GAF,GERMAN AIR FORCE,Germany,false
2544,German Army,,GAM,GERMAN ARMY,Germany,false
2545,German Navy,,GNY,GERMAN NAVY,Germany,false
2546,German Sky Airlines,,GHY,GERMAN SKY,Germany,false
2547,Germania,ST,GMI,GERMANIA,Germany,true
2548,Germanwings,4U,GWI,GERMAN WINGS,Germany,true
2549,Gerry's Dnata,,GDN,,Pakistan,false
2550,Gesekkschaft Fur Flugzieldarstellung,,GFD,KITE,Germany,false
2552,Gestar,,GTR,STAR GESTAR,Chile,false
2553,Gestion Aerea Ajecutiva,,GJT,BANJET,Spain,false
2554,Ghadames Air Transport,,GHT,,Libya,false
2555,Ghana Airways,,GHA,GHANA,Ghana,false
2557,Gibson Aviation,,NTC,NIGHT CHASE,United States,false
2558,Global Air Charter,,RPS,RESPONSE,United States,false
2559,Global Air Operations,,GAG,GLOBAL AIRGROUP,Comoros,false
2560,Global Air Services Nigeria,,GBS,GLOBAL SERVE,Nigeria,false
2561,Global Aircargo,,GLC,,Bahrain,false
2563,Global Aviation Operations,,GBB,GLOBE,South Africa,false
2564,Global Aviation and Services Group,,GAK,AVIAGROUP,Libya,false
2565,Global Georgian Airways,,GGZ,GLOBAL GEORGIAN,Georgia,false
2566,Global Jet Austria,,GLJ,GLOBAL AUSTRIA,Austria,false
2567,Global Jet Corporation,,NSM,THUNDERCLOUD,United States,false
2568,Global Jet Luxembourg,,SVW,SILVER ARROWS,Luxembourg,false
2569,Global Sky Aircharter,,GSK,GLOBAL SKY,United States,false
2570,Global Supply Systems,,GSS,JET LIFT,United Kingdom,false
2571,Global System,,XGS,,United States,false
2572,Global Weather Dynamics,,XGW,,United States,false
2573,Global Wings,,GLW,,Japan,false
2574,Globe Jet,,GJA,,Lebanon,false
2575,Go Air,G8,GOW,GOAIR,India,true
2576,Go One Airways,GK,,,United Kingdom,false
2578,Gobierno De Guinea Ecuatorial,,GGE,,Equatorial Guinea,false
2579,Gof-Air,,GOF,GOF-AIR,Mexico,false
2580,Gofir,,GOI,SWISS HAWK,Switzerland,false
2582,Gold Belt Air Transport,,GBT,GOLD BELT,Canada,false
2583,GoldAir,,GDA,AIR PARTNER,United Kingdom,false
