"fecha";"hora";"vuelo";"origen";"estado";"franja_horaria";"icao";"iata";"numero_vuelo"
"2025-11-09";"21:10";"RYR7267";"TREVISO/S.ANGELO (MIL) (TSF)";"No informado";"Noche";"RYR";"TSF";"7267"
"2025-11-09";"21:15";"RYR7470";"MILAN /MALPENSA (MXP)";"No informado";"Noche";"RYR";"MXP";"7470"
"2025-11-09";"21:20";"TVS1054";"PRAGA (PRG)";"No informado";"Noche";"TVS";"PRG";"1054"
"2025-11-09";"21:35";"RYR645";"MALAGA-COSTA DEL SOL (AGP)";"No informado";"Noche";"RYR";"AGP";"645"
"2025-11-09";"21:40";"ANE8052";"(GRX)";"No informado";"Noche";"ANE";"GRX";"8052"
"2025-11-09";"21:50";"VLG3954";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"VLG";"PMI";"3954"
"2025-11-09";"22:00";"IBE2376";"BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN)";"No informado";"Noche";"IBE";"BCN";"2376"
"2025-11-09";"22:20";"IBE2441";"MENORCA (MAH)";"No informado";"Noche";"IBE";"MAH";"2441"
"2025-11-09";"22:40";"RYR6325";"LONDRES /STANSTED (STN)";"No informado";"Noche";"RYR";"STN";"6325"
"2025-11-09";"22:55";"RYR1611";"BARI /PALESE (BRI)";"No informado";"Noche";"RYR";"BRI";"1611"
"2025-11-09";"23:00";"KLM1535";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"Noche";"KLM";"AMS";"1535"
"2025-11-09";"23:10";"AFR1492";"PARIS /CHARLES DE GAULLE (CDG)";"No informado";"Noche";"AFR";"CDG";"1492"
"2025-11-09";"23:25";"IBE2431";"IBIZA (IBZ)";"No informado";"Noche";"IBE";"IBZ";"2431"
"2025-11-09";"23:30";"TAP1096";"LISBOA (LIS)";"No informado";"Noche";"TAP";"LIS";"1096"
"2025-11-09";"23:35";"IBE2380";"MALAGA-COSTA DEL SOL (AGP)";"No informado";"Noche";"IBE";"AGP";"2380"
"2025-11-09";"23:35";"RYR7201";"GRAN CANARIA (LPA)";"No informado";"Noche";"RYR";"LPA";"7201"
"2025-11-10";"00:05";"IBE1083";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Madrugada";"IBE";"MAD";"1083"
"2025-11-10";"00:10";"RYR3791";"BRUSELAS /CHARLEROI (CRL)";"No informado";"Madrugada";"RYR";"CRL";"3791"
"2025-11-10";"00:15";"IBE2404";"PALMA DE MALLORCA (PMI)";"No informado";"Madrugada";"IBE";"PMI";"2404"
"2025-11-10";"00:20";"VLG8350";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"Madrugada";"VLG";"AMS";"8350"
"2025-11-10";"00:25";"RYR4728";"MILAN/BERGAMO (BGY)";"No informado";"Madrugada";"RYR";"BGY";"4728"
"2025-11-10";"00:35";"VLG8921";"BRUSELAS (BRU)";"No informado";"Madrugada";"VLG";"BRU";"8921"
"2025-11-10";"00:55";"RYR1772";"DUBLIN (DUB)";"No informado";"Madrugada";"RYR";"DUB";"1772"
"2025-11-10";"07:45";"SWR2130";"GINEBRA (GVA)";"No informado";"Mañana";"SWR";"GVA";"2130"
"2025-11-10";"08:00";"RYR1003";"ROMA /FIUMICINO (FCO)";"No informado";"Mañana";"RYR";"FCO";"1003"
"2025-11-10";"08:05";"AEA4063";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Mañana";"AEA";"MAD";"4063"
"2025-11-10";"08:15";"IBE2382";"MALAGA-COSTA DEL SOL (AGP)";"No informado";"Mañana";"IBE";"AGP";"2382"
"2025-11-10";"08:20";"RYR1848";"MEMMINGEN (FMM)";"No informado";"Mañana";"RYR";"FMM";"1848"
"2025-11-10";"08:40";"VOE3536";"BILBAO (BIO)";"No informado";"Mañana";"VOE";"BIO";"3536"
"2025-11-10";"08:45";"VLG3950";"PALMA DE MALLORCA (PMI)";"No informado";"Mañana";"VLG";"PMI";"3950"
"2025-11-10";"08:45";"RYR802";"VIENA (VIE)";"No informado";"Mañana";"RYR";"VIE";"802"
"2025-11-10";"09:00";"RYR4728";"MILAN/BERGAMO (BGY)";"No informado";"Mañana";"RYR";"BGY";"4728"
"2025-11-10";"09:05";"WZZ2385";"BUDAPEST (BUD)";"No informado";"Mañana";"WZZ";"BUD";"2385"
"2025-11-10";"09:05";"IBE1079";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Mañana";"IBE";"MAD";"1079"
"2025-11-10";"09:05";"RYR4741";"POZNAN /LAWICA (POZ)";"No informado";"Mañana";"RYR";"POZ";"4741"
"2025-11-10";"09:10";"EJU5103";"BERLIN BRANDENBURG (BER)";"No informado";"Mañana";"EJU";"BER";"5103"
"2025-11-10";"09:10";"IBE2433";"IBIZA (IBZ)";"No informado";"Mañana";"IBE";"IBZ";"2433"
"2025-11-10";"09:15";"RYR2206";"SEVILLA (SVQ)";"No informado";"Mañana";"RYR";"SVQ";"2206"
"2025-11-10";"09:35";"TRA5105";"EINDHOVEN (EIN)";"No informado";"Mañana";"TRA";"EIN";"5105"
"2025-11-10";"09:55";"TRA6337";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"Mañana";"TRA";"AMS";"6337"
"2025-11-10";"09:55";"RYR1714";"NANTES-ATLANTIQUE (NTE)";"No informado";"Mañana";"RYR";"NTE";"1714"
"2025-11-10";"10:15";"RYR1444";"MILAN /MALPENSA (MXP)";"No informado";"Mañana";"RYR";"MXP";"1444"
"2025-11-10";"10:55";"THY1301";"ESTAMBUL (IST)";"No informado";"Mañana";"THY";"IST";"1301"
"2025-11-10";"11:10";"EZY8009";"LONDRES /GATWICK (LGW)";"No informado";"Mañana";"EZY";"LGW";"8009"
"2025-11-10";"11:10";"TAP1092";"LISBOA (LIS)";"No informado";"Mañana";"TAP";"LIS";"1092"
"2025-11-10";"11:20";"TVF4620";"PARIS /ORLY (ORY)";"No informado";"Mañana";"TVF";"ORY";"4620"
"2025-11-10";"11:30";"VLG8153";"PARIS /ORLY (ORY)";"No informado";"Mañana";"VLG";"ORY";"8153"
"2025-11-10";"11:35";"RYR2257";"KOELN/BONN (CGN)";"No informado";"Mañana";"RYR";"CGN";"2257"
"2025-11-10";"11:35";"RAM968";"CASABLANCA /MOHAMED V (CMN)";"No informado";"Mañana";"RAM";"CMN";"968"
"2025-11-10";"11:35";"AEA4007";"PALMA DE MALLORCA (PMI)";"No informado";"Mañana";"AEA";"PMI";"4007"
"2025-11-10";"11:45";"VOE2656";"LYON (LYS)";"No informado";"Mañana";"VOE";"LYS";"2656"
"2025-11-10";"11:50";"IBE2402";"PALMA DE MALLORCA (PMI)";"No informado";"Mañana";"IBE";"PMI";"2402"
"2025-11-10";"12:00";"AFR1416";"PARIS /CHARLES DE GAULLE (CDG)";"No informado";"Tarde";"AFR";"CDG";"1416"
"2025-11-10";"12:05";"SWR2140";"ZURICH (ZRH)";"No informado";"Tarde";"SWR";"ZRH";"2140"
"2025-11-10";"12:10";"RYR1736";"LONDRES /STANSTED (STN)";"No informado";"Tarde";"RYR";"STN";"1736"
"2025-11-10";"12:15";"RYR1710";"OPORTO (OPO)";"No informado";"Tarde";"RYR";"OPO";"1710"
"2025-11-10";"12:20";"RYR138";"BERLIN BRANDENBURG (BER)";"No informado";"Tarde";"RYR";"BER";"138"
"2025-11-10";"12:20";"RYR1768";"LISBOA (LIS)";"No informado";"Tarde";"RYR";"LIS";"1768"
"2025-11-10";"12:30";"RYR1740";"DUBLIN (DUB)";"No informado";"Tarde";"RYR";"DUB";"1740"
"2025-11-10";"12:45";"RYR6836";"NAPOLES (NAP)";"No informado";"Tarde";"RYR";"NAP";"6836"
"2025-11-10";"12:45";"IBE2391";"SEVILLA (SVQ)";"No informado";"Tarde";"IBE";"SVQ";"2391"
"2025-11-10";"12:50";"NIA6101";"(CAI)";"No informado";"Tarde";"NIA";"CAI";"6101"
"2025-11-10";"13:00";"RYR952";"PISA / GALILEO GALILEI (PSA)";"No informado";"Tarde";"RYR";"PSA";"952"
"2025-11-10";"13:35";"RYR645";"MALAGA-COSTA DEL SOL (AGP)";"No informado";"Tarde";"RYR";"AGP";"645"
"2025-11-10";"13:45";"IBE2313";"BILBAO (BIO)";"No informado";"Tarde";"IBE";"BIO";"2313"
"2025-11-10";"14:00";"EZS1371";"GINEBRA (GVA)";"No informado";"Tarde";"EZS";"GVA";"1371"
"2025-11-10";"14:20";"RYR643";"LONDRES /STANSTED (STN)";"No informado";"Tarde";"RYR";"STN";"643"
"2025-11-10";"14:30";"TVF4624";"PARIS /ORLY (ORY)";"No informado";"Tarde";"TVF";"ORY";"4624"
"2025-11-10";"14:35";"RYR618";"TRIESTE (TRS)";"No informado";"Tarde";"RYR";"TRS";"618"
"2025-11-10";"14:40";"RYR1687";"BRUSELAS /CHARLEROI (CRL)";"No informado";"Tarde";"RYR";"CRL";"1687"
"2025-11-10";"14:55";"RYR9001";"PARIS /BEAUVAIS-TILLE (BVA)";"No informado";"Tarde";"RYR";"BVA";"9001"
"2025-11-10";"15:00";"VLG4143";"(FAO)";"No informado";"Tarde";"VLG";"FAO";"4143"
"2025-11-10";"15:15";"RYR7215";"PALMA DE MALLORCA (PMI)";"No informado";"Tarde";"RYR";"PMI";"7215"
"2025-11-10";"15:25";"EZS1031";"BASEL /MULHOUSE (BSL)";"No informado";"Tarde";"EZS";"BSL";"1031"
"2025-11-10";"15:35";"RYR9380";"BIRMINGHAM / INTERNACIONAL (BHX)";"No informado";"Tarde";"RYR";"BHX";"9380"
"2025-11-10";"15:35";"RYR2259";"TURIN (TRN)";"No informado";"Tarde";"RYR";"TRN";"2259"
"2025-11-10";"15:40";"RYR5372";"FEZ /SAIS (FEZ)";"No informado";"Tarde";"RYR";"FEZ";"5372"
"2025-11-10";"15:45";"IBE2395";"SEVILLA (SVQ)";"No informado";"Tarde";"IBE";"SVQ";"2395"
"2025-11-10";"15:50";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"Tarde";"BAW";"LHR";"410"
"2025-11-10";"16:00";"IBE2441";"MENORCA (MAH)";"No informado";"Tarde";"IBE";"MAH";"2441"
"2025-11-10";"16:05";"VLG3966";"BILBAO (BIO)";"No informado";"Tarde";"VLG";"BIO";"3966"
"2025-11-10";"16:50";"VOE3582";"ASTURIAS (OVD)";"No informado";"Tarde";"VOE";"OVD";"3582"
"2025-11-10";"17:10";"DLH1162";"FRANKFURT (FRA)";"No informado";"Tarde";"DLH";"FRA";"1162"
"2025-11-10";"17:20";"VLG8921";"BRUSELAS (BRU)";"No informado";"Tarde";"VLG";"BRU";"8921"
"2025-11-10";"17:25";"RYR4631";"MILAN/BERGAMO (BGY)";"No informado";"Tarde";"RYR";"BGY";"4631"
"2025-11-10";"17:25";"RYR4486";"PALERMO /PUNTA RAISI (PMO)";"No informado";"Tarde";"RYR";"PMO";"4486"
"2025-11-10";"17:30";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Tarde";"EWG";"DUS";"9538"
"2025-11-10";"17:30";"TAP1094";"LISBOA (LIS)";"No informado";"Tarde";"TAP";"LIS";"1094"
"2025-11-10";"17:30";"VLG1175";"GRAN CANARIA (LPA)";"No informado";"Tarde";"VLG";"LPA";"1175"
"2025-11-10";"17:35";"LHX1842";"MUNICH (MUC)";"No informado";"Tarde";"LHX";"MUC";"1842"
"2025-11-10";"18:00";"RYR616";"IBIZA (IBZ)";"No informado";"Noche";"RYR";"IBZ";"616"
"2025-11-10";"18:30";"IBB5802";"GRAN CANARIA (LPA)";"No informado";"Noche";"IBB";"LPA";"5802"
"2025-11-10";"18:35";"RYR1131";"NUREMBERG (NUE)";"No informado";"Noche";"RYR";"NUE";"1131"
"2025-11-10";"18:40";"RYR641";"MANCHESTER (MAN)";"No informado";"Noche";"RYR";"MAN";"641"
"2025-11-10";"18:50";"EJU7899";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"Noche";"EJU";"AMS";"7899"
"2025-11-10";"18:55";"RYR2217";"MARRAKECH (RAK)";"No informado";"Noche";"RYR";"RAK";"2217"
"2025-11-10";"18:55";"SWR2146";"ZURICH (ZRH)";"No informado";"Noche";"SWR";"ZRH";"2146"
"2025-11-10";"19:10";"LGL763";"LUXEMBURGO (LUX)";"No informado";"Noche";"LGL";"LUX";"763"
