Año,Mes,País,Compañía,ICAO,Pasajeros,Vuelos,Ratio_Pax_Vuelo
2022,7,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,20,0
2022,7,BELGICA,ASL AIRLINES BELGIUM,TAY,0,17,0
2022,7,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,21,0
2022,7,ESPAÑA,UPS UNITED PARCEL SERVICE,UPS,0,0,0
2022,7,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,5,0
2022,7,HUNGRIA,AIR-TAXI EUROPE GMBH,TWG,0,1,0
2022,6,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,21,0
2022,6,BELGICA,ASL AIRLINES BELGIUM,TAY,0,18,0
2022,6,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,22,0
2022,6,ESPAÑA,UPS UNITED PARCEL SERVICE,UPS,0,0,0
2022,6,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,4,0
2022,5,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,21,0
2022,5,BELGICA,ASL AIRLINES BELGIUM,TAY,0,17,0
2022,5,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,21,0
2022,5,ESPAÑA,SWIFTAIR S.A.,SWT,0,1,0
2022,5,ESPAÑA,UPS UNITED PARCEL SERVICE,UPS,0,0,0
2022,5,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,4,0
2022,4,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,18,0
2022,4,BELGICA,ASL AIRLINES BELGIUM,TAY,0,14,0
2022,4,ESPAÑA,ASL AIRLINES BELGIUM,TAY,0,1,0
2022,4,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,19,0
2022,4,ESPAÑA,UPS UNITED PARCEL SERVICE,UPS,0,0,0
2022,4,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,5,0
2022,3,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,23,0
2022,3,BELGICA,ASL AIRLINES BELGIUM,TAY,0,23,0
2022,3,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,23,0
2022,2,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,20,0
2022,2,BELGICA,ASL AIRLINES BELGIUM,TAY,0,20,0
2022,2,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,20,0
2022,1,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,20,0
2022,1,BELGICA,ASL AIRLINES BELGIUM,TAY,0,20,0
2022,1,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,20,0
2023,8,ESPAÑA,RYANAIR DAC,RYR,68685,387,177.48
2023,8,ITALIA,RYANAIR DAC,RYR,68227,376,181.45
2023,7,ESPAÑA,RYANAIR DAC,RYR,66091,382,173.01
2023,7,ITALIA,RYANAIR DAC,RYR,65918,364,181.09
2023,10,ITALIA,RYANAIR DAC,RYR,60753,341,178.16
2023,9,ITALIA,RYANAIR DAC,RYR,60194,341,176.52
2023,9,ESPAÑA,RYANAIR DAC,RYR,59368,351,169.14
2023,5,ITALIA,RYANAIR DAC,RYR,58109,328,177.16
2023,4,ITALIA,RYANAIR DAC,RYR,56917,317,179.55
2023,6,ESPAÑA,RYANAIR DAC,RYR,55203,330,167.28
2023,5,ESPAÑA,RYANAIR DAC,RYR,53634,328,163.52
