Año,Mes,País,Aeropuerto,IATA,Pasajeros,Vuelos,Ratio_Pax_Vuelo
2022,4,ESPAÑA,LANZAROTE CÉSAR MANRIQUE,ACE,1687,11,153.36
2022,4,ESPAÑA,A CORUÑA,LCG,1418,14,101.29
2022,4,ESPAÑA,TENERIFE SUR,TFS,1363,8,170.38
2022,4,ESPAÑA,FUERTEVENTURA,FUE,900,8,112.5
2022,4,ESPAÑA,VIGO,VGO,695,11,63.18
2022,4,ESPAÑA,SALAMANCA/ MATACAN,SLM,89,1,89
2022,4,ESPAÑA,JEREZ DE LA FRONTERA/ LA PARRA,XRY,51,0,0
2022,4,ESPAÑA,BADAJOZ/ TALAVERA LA REAL,BJZ,9,1,9
2022,4,ESPAÑA,VITORIA,VIT,0,19,0
2022,4,ITALIA,ROMA / FIUMICINO,FCO,10459,64,163.42
2022,4,ITALIA,MILAN/BERGAMO,BGY,6057,34,178.15
2022,4,ITALIA,MILAN /MALPENSA,MXP,6042,35,172.63
2022,4,ITALIA,BOLONIA/ GUGLIELMO MARCONI,BLQ,5205,30,173.5
2022,4,ITALIA,PISA / GALILEO GALILEI,PSA,3289,21,156.62
2022,4,ITALIA,TREVISO/S.ANGELO (MIL),TSF,2802,17,164.82
2022,4,ITALIA,NAPOLES,NAP,1979,12,164.92
2022,4,ITALIA,TURIN /CITTA DI TORINO,TRN,1575,9,175
2022,4,ITALIA,TRIESTE / RONCHI DEI LEGIONARI,TRS,1556,9,172.89
2022,4,ITALIA,PALERMO /PUNTA RAISI,PMO,1458,9,162
2022,4,ITALIA,BARI /PALESE,BRI,1346,8,168.25
2022,4,ITALIA,CAGLIARI / ELMAS,CAG,1231,8,153.88
2022,4,ALEMANIA,FRANKFURT/INTERNACIONAL,FRA,12296,77,159.69
2022,4,ALEMANIA,MUNICH /FRANZ JOSEF STRAUSS,MUC,4154,31,134
2022,4,ALEMANIA,DUSSELDORF,DUS,4099,27,151.81
2022,4,ALEMANIA,BERLIN BRANDENBURG,BER,3835,22,174.32
2022,4,ALEMANIA,HAMBURGO/ FUHLSBUETTEL,HAM,2940,21,140
2022,4,ALEMANIA,STUTTGART/ ECHTERDINGEN,STR,1758,13,135.23
2022,4,ALEMANIA,KOELN/BONN,CGN,1616,27,59.85
2022,4,ALEMANIA,KARLSRUHE-BADEN BAD/SOELLINGEN,FKB,1575,9,175
2022,4,ALEMANIA,NUREMBERG,NUE,1411,8,176.38
2022,4,REINO UNIDO,LONDRES/GATWICK,LGW,15221,105,144.96
2022,4,REINO UNIDO,LONDRES /STANSTED,STN,7033,43,163.56
2022,4,REINO UNIDO,LONDRES / HEATHROW,LHR,3035,24,126.46
2022,4,REINO UNIDO,MANCHESTER /INTERNACIONAL,MAN,2878,17,169.29
2022,4,REINO UNIDO,EDIMBURGO/ TURNHOUSE,EDI,1494,9,166
2022,4,REINO UNIDO,BRISTOL,BRS,1468,9,163.11
2022,4,REINO UNIDO,EAST MIDLANDS,EMA,1437,9,159.67
2022,4,HOLANDA,AMSTERDAM/SCHIPHOL,AMS,15984,122,131.02
2022,4,HOLANDA,EINDHOVEN,EIN,12813,76,168.59
2022,4,HOLANDA,ROTTERDAM,RTM,2376,17,139.76
2022,4,FRANCIA,PARIS /ORLY,ORY,13039,84,155.23
2022,4,FRANCIA,PARIS/ CHARLES DE GAULLE,CDG,8389,65,129.06
2022,4,FRANCIA,TOULOUSE /BLAGNAC,TLS,1830,13,140.77
2022,4,FRANCIA,PARIS /BEAUVAIS-TILLE AIRPORT,BVA,1568,9,174.22
2022,4,FRANCIA,BURDEOS,BOD,1442,9,160.22
2022,4,FRANCIA,NANTES / ATLANTIQUE,NTE,1414,8,176.75
2022,4,FRANCIA,MARSELLA,MRS,1344,8,168
2022,4,FRANCIA,LYON SAINT-EXUPERY,LYS,742,5,148.4
2022,4,FRANCIA,PERPIGNAN  /LLABANERE,PGF,580,9,64.44
2022,4,BELGICA,BRUSELAS,BRU,12931,85,152.13
2022,4,BELGICA,BRUSELAS/CHARLEROI,CRL,2945,17,173.24
2022,4,BELGICA,LIEGE /BIERSET,LGG,0,14,0
2022,4,PORTUGAL,LISBOA,LIS,7658,87,88.02
2022,4,PORTUGAL,OPORTO,OPO,3485,21,165.95
2022,4,PORTUGAL,FARO,FAO,978,9,108.67
2022,4,SUIZA,ZURICH,ZRH,7883,58,135.91
2022,4,SUIZA,BASEL/MULHOUSE EUROAIRPORT CH,BSL,2122,13,163.23
2022,4,SUIZA,GINEBRA/COINTRIN,GVA,1068,9,118.67
2022,4,RUMANIA,BUCAREST /OTOPENI INTERNACIONA,OTP,5365,31,173.06
2022,4,RUMANIA,CLUJ NAPOCA/SOMESENI,CLJ,2193,12,182.75
2022,4,RUMANIA,TIMISOARA,TSR,1215,8,151.88
2022,4,MARRUECOS,MARRAKECH /MENARA,RAK,2006,13,154.31
2022,4,MARRUECOS,TANGER /BOUKHALEF,TNG,1309,15,87.27
2022,4,MARRUECOS,CASABLANCA/ MOHAMED V,CMN,720,17,42.35
2022,4,MARRUECOS,AGADIR/AL MASSIRA,AGA,689,9,76.56
2022,4,MARRUECOS,FEZ/SAIS,FEZ,620,4,155
2022,4,TURQUIA,ISTANBUL HAVALIMANI,IST,4514,33,136.79
2022,4,AUSTRIA,VIENA  /INTERNACIONAL,VIE,3754,22,170.64
2022,4,POLONIA,GDANSK/REBIECHOWO,GDN,1557,9,173
2022,4,POLONIA,CRACOVIA /JUAN PABLO II INTERN,KRK,1445,8,180.62
2022,4,IRLANDA,DUBLIN,DUB,2838,16,177.38
2022,4,MALTA,MALTA / LUQA,MLA,1869,13,143.77
2022,4,BULGARIA,SOFIA ,SOF,1784,12,148.67
2022,4,HUNGRIA,BUDAPEST/ FERIHEGY,BUD,1449,8,181.12
2022,4,REPUBLICA CHECA,PRAGA /RUZYNE,PRG,1363,11,123.91
2022,4,LETONIA,RIGA,RIX,483,4,120.75
2022,4,LUXEMBURGO,LUXEMBURGO,LUX,474,9,52.67
2022,4,REPUBLICA DE SERBIA,BELGRADO / BEOGRAD,BEG,455,4,113.75
2022,3,ESPAÑA,PALMA DE MALLORCA,PMI,19585,187,104.73
2022,3,ESPAÑA,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,11384,155,73.45
2022,3,ESPAÑA,IBIZA,IBZ,9203,99,92.96
2022,3,ESPAÑA,SEVILLA,SVQ,8466,91,93.03
2022,3,ESPAÑA,SANTIAGO-ROSALÍA DE CASTRO,SCQ,5695,35,162.71
2022,3,ESPAÑA,BILBAO,BIO,4513,62,72.79
2022,3,ESPAÑA,MÁLAGA-COSTA DEL SOL,AGP,4230,43,98.37
2022,3,ESPAÑA,TENERIFE NORTE-C. LA LAGUNA,TFN,4144,29,142.9
2022,3,ESPAÑA,GRAN CANARIA,LPA,3278,22,149
2022,3,ESPAÑA,ASTURIAS,OVD,2450,17,144.12
