"Icao_Aerolinea";"Iata_Aeropuerto";"Fecha";"Hora";"Vuelo";"Origen";"Estado";"Numero_Vuelo";"Nombre_Aeropuerto";"Ciudad_Aeropuerto";"País_Aeropuerto";"Icao_Aeropuerto";"Latitud";"Longitud";"Altitud";"Zona_Horaria";"Nombre_Aerolinea";"País_Aerolinea";"PAX_Medio_Aeropuerto";"PAX_Medio_Compania";"PAX_Medio_Total";"franja_horaria"
"DLH";"MUC";"2025-11-13";"11:00";"DLH1840";"MUNICH (MUC)";"No informado";"1840";"Munich Airport";"Munich";"Germany";"EDDM";"48,3538020000000";"11,78610000000000";"1487";"Europe/Berlin";"Lufthansa";"Germany";"144,6004255319149";"158,673191489361699";"151,6368085106383";"Mañana"
"DLH";"FRA";"2025-11-19";"12:10";"DLH1160";"FRANKFURT (FRA)";"No informado";"1160";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Tarde"
"DLH";"FRA";"2025-11-13";"23:10";"DLH1164";"FRANKFURT (FRA)";"No informado";"1164";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Noche"
"DLH";"MUC";"2025-11-09";"17:45";"DLH2640";"MUNICH (MUC)";"No informado";"2640";"Munich Airport";"Munich";"Germany";"EDDM";"48,3538020000000";"11,78610000000000";"1487";"Europe/Berlin";"Lufthansa";"Germany";"144,6004255319149";"158,673191489361699";"151,6368085106383";"Tarde"
"DLH";"FRA";"2025-11-14";"17:10";"DLH1162";"FRANKFURT (FRA)";"No informado";"1162";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Tarde"
"DLH";"MUC";"2025-11-15";"17:35";"DLH1842";"MUNICH (MUC)";"No informado";"1842";"Munich Airport";"Munich";"Germany";"EDDM";"48,3538020000000";"11,78610000000000";"1487";"Europe/Berlin";"Lufthansa";"Germany";"144,6004255319149";"158,673191489361699";"151,6368085106383";"Tarde"
"DLH";"MUC";"2025-11-14";"11:25";"DLH1840";"MUNICH (MUC)";"No informado";"1840";"Munich Airport";"Munich";"Germany";"EDDM";"48,3538020000000";"11,78610000000000";"1487";"Europe/Berlin";"Lufthansa";"Germany";"144,6004255319149";"158,673191489361699";"151,6368085106383";"Mañana"
"DLH";"FRA";"2025-11-22";"23:15";"DLH1164";"FRANKFURT (FRA)";"No informado";"1164";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Noche"
"DLH";"FRA";"2025-11-21";"11:50";"DLH1160";"FRANKFURT (FRA)";"No informado";"1160";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Mañana"
"DLH";"MUC";"2025-11-09";"10:53";"DLH1840";"MUNICH (MUC)";"Finalizado";"1840";"Munich Airport";"Munich";"Germany";"EDDM";"48,3538020000000";"11,78610000000000";"1487";"Europe/Berlin";"Lufthansa";"Germany";"144,6004255319149";"158,673191489361699";"151,6368085106383";"Mañana"
"DLH";"FRA";"2025-11-15";"12:20";"DLH1160";"FRANKFURT (FRA)";"No informado";"1160";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Tarde"
"DLH";"FRA";"2025-11-20";"17:15";"DLH1162";"FRANKFURT (FRA)";"No informado";"1162";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Tarde"
"DLH";"FRA";"2025-11-09";"17:30";"DLH1162";"FRANKFURT (FRA)";"No informado";"1162";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Tarde"
"DLH";"FRA";"2025-11-12";"23:20";"DLH1164";"FRANKFURT (FRA)";"No informado";"1164";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Noche"
"DLH";"FRA";"2025-11-14";"23:00";"DLH1164";"FRANKFURT (FRA)";"No informado";"1164";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50,0333330000000";"8,57055600000000";"364";"Europe/Berlin";"Lufthansa";"Germany";"165,8419148936170";"158,673191489361699";"162,2575531914894";"Noche"
"EJU";"AMS";"2025-11-17";"18:50";"EJU7899";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"7899";"Amsterdam Airport Schiphol";"Amsterdam";"Netherlands";"EHAM";"52,3086010000000";"4,76389000000000";"-11";"Europe/Amsterdam";"EasyJet";"United Kingdom";"133,3523404255319";"158,876029411764705";"146,1141849186483";"Noche"
"EJU";"BER";"2025-11-16";"09:05";"EJU5103";"BERLIN BRANDENBURG (BER)";"No informado";"5103";NA;NA;NA;NA;NA;NA;NA;NA;"EasyJet";"United Kingdom";"170,9934042553191";"158,876029411764705";"164,9347168335419";"Mañana"
"EJU";"BER";"2025-11-20";"16:55";"EJU5103";"BERLIN BRANDENBURG (BER)";"No informado";"5103";NA;NA;NA;NA;NA;NA;NA;NA;"EasyJet";"United Kingdom";"170,9934042553191";"158,876029411764705";"164,9347168335419";"Tarde"
"EJU";"BER";"2025-11-17";"09:10";"EJU5103";"BERLIN BRANDENBURG (BER)";"No informado";"5103";NA;NA;NA;NA;NA;NA;NA;NA;"EasyJet";"United Kingdom";"170,9934042553191";"158,876029411764705";"164,9347168335419";"Mañana"
"EJU";"AMS";"2025-11-21";"09:50";"EJU7899";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"7899";"Amsterdam Airport Schiphol";"Amsterdam";"Netherlands";"EHAM";"52,3086010000000";"4,76389000000000";"-11";"Europe/Amsterdam";"EasyJet";"United Kingdom";"133,3523404255319";"158,876029411764705";"146,1141849186483";"Mañana"
"EJU";"BER";"2025-11-21";"19:00";"EJU5103";"BERLIN BRANDENBURG (BER)";"No informado";"5103";NA;NA;NA;NA;NA;NA;NA;NA;"EasyJet";"United Kingdom";"170,9934042553191";"158,876029411764705";"164,9347168335419";"Noche"
"EWG";"DUS";"2025-11-15";"10:45";"EWG9538";"DUSSELDORF (DUS)";"No informado";"9538";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51,2895010000000";"6,76678000000000";"147";"Europe/Berlin";"Eurowings";"Germany";"140,8780851063830";"107,819054054054050";"124,3485695802185";"Mañana"
"EWG";"CGN";"2025-11-14";"19:05";"EWG538";"KOELN/BONN (CGN)";"No informado";"538";"Cologne Bonn Airport";"Cologne";"Germany";"EDDK";"50,8658981323000";"7,14273977280000";"302";"Europe/Berlin";"Eurowings";"Germany";"80,6106382978723";"107,819054054054050";"94,2148461759632";"Noche"
"EWG";"DUS";"2025-11-13";"09:20";"EWG9538";"DUSSELDORF (DUS)";"No informado";"9538";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51,2895010000000";"6,76678000000000";"147";"Europe/Berlin";"Eurowings";"Germany";"140,8780851063830";"107,819054054054050";"124,3485695802185";"Mañana"
