"Compañía";"Año";"Mes";"País";"Operaciones Totales";"Pasajeros Totales";"PAX_medio";"icao_aerolinea"
"AIR SERBIA";"2023";"Enero      de 2023";"REPUBLICA DE SERBIA";"9,000";"1,057";"0,1174444444444444";"ASL"
"AIR SERBIA";"2025";"Enero      de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2022";"Julio      de 2022";"REPUBLICA DE SERBIA";"9,000";"1,068";"0,1186666666666667";"ASL"
"AIR SERBIA";"2023";"Noviembre  de 2023";"REPUBLICA DE SERBIA";"8,000";"1,073";"0,1341250000000000";"ASL"
"AIR SERBIA";"2025";"Mayo       de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2023";"Febrero    de 2023";"REPUBLICA DE SERBIA";"8,000";"966,000";"120,7500000000000000";"ASL"
"AIR SERBIA";"2023";"Agosto     de 2023";"REPUBLICA DE SERBIA";"14,000";"1,740";"0,1242857142857143";"ASL"
"AIR SERBIA";"2025";"Septiembre de 2025";"REPUBLICA DE SERBIA";"13,000";"1,836";"0,1412307692307692";"ASL"
"AIR SERBIA";"2024";"Abril      de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Octubre    de 2025";"REPUBLICA DE SERBIA";"12,000";"1,560";"0,1300000000000000";"ASL"
"AIR SERBIA";"2022";"Abril      de 2022";"REPUBLICA DE SERBIA";"4,000";"455,000";"113,7500000000000000";"ASL"
"AIR SERBIA";"2025";"Abril      de 2025";"REPUBLICA DE SERBIA";"9,000";"1,320";"0,1466666666666667";"ASL"
"AIR SERBIA";"2024";"Julio      de 2024";"REPUBLICA DE SERBIA";"8,000";"1,272";"0,1590000000000000";"ASL"
"AIR SERBIA";"2025";"Octubre    de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2022";"Noviembre  de 2022";"REPUBLICA DE SERBIA";"8,000";"899,000";"112,3750000000000000";"ASL"
"AIR SERBIA";"2024";"Diciembre  de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2024";"Noviembre  de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Mayo       de 2025";"REPUBLICA DE SERBIA";"13,000";"1,780";"0,1369230769230769";"ASL"
"AIR SERBIA";"2025";"Noviembre  de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Marzo      de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Julio      de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2022";"Diciembre  de 2022";"REPUBLICA DE SERBIA";"9,000";"1,049";"0,1165555555555556";"ASL"
"AIR SERBIA";"2022";"Mayo       de 2022";"REPUBLICA DE SERBIA";"8,000";"492,000";"61,5000000000000000";"ASL"
"AIR SERBIA";"2024";"Noviembre  de 2024";"REPUBLICA DE SERBIA";"8,000";"890,000";"111,2500000000000000";"ASL"
"AIR SERBIA";"2025";"Febrero    de 2025";"REPUBLICA DE SERBIA";"8,000";"844,000";"105,5000000000000000";"ASL"
"AIR SERBIA";"2023";"Diciembre  de 2023";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Marzo      de 2025";"REPUBLICA DE SERBIA";"9,000";"1,105";"0,1227777777777778";"ASL"
"AIR SERBIA";"2023";"Julio      de 2023";"REPUBLICA DE SERBIA";"13,000";"1,464";"0,1126153846153846";"ASL"
"AIR SERBIA";"2023";"Octubre    de 2023";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2024";"Octubre    de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2023";"Mayo       de 2023";"REPUBLICA DE SERBIA";"8,000";"1,086";"0,1357500000000000";"ASL"
"AIR SERBIA";"2024";"Junio      de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Febrero    de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Septiembre de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2022";"Octubre    de 2022";"REPUBLICA DE SERBIA";"9,000";"1,063";"0,1181111111111111";"ASL"
"AIR SERBIA";"2023";"Abril      de 2023";"REPUBLICA DE SERBIA";"9,000";"1,261";"0,1401111111111111";"ASL"
"AIR SERBIA";"2025";"Agosto     de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2023";"Diciembre  de 2023";"REPUBLICA DE SERBIA";"9,000";"1,000";"0,1111111111111111";"ASL"
"AIR SERBIA";"2023";"Noviembre  de 2023";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2024";"Agosto     de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR TRANSAT";"2025";"Junio      de 2025";"CANADA";"2,000";"378,000";"189,0000000000000000";"TSC"
"AIR TRANSAT";"2025";"Julio      de 2025";"CANADA";"4,000";"652,000";"163,0000000000000000";"TSC"
"AIR TRANSAT";"2025";"Octubre    de 2025";"CANADA";"1,000";"104,000";"104,0000000000000000";"TSC"
"AIR TRANSAT";"2025";"Septiembre de 2025";"CANADA";"4,000";"626,000";"156,5000000000000000";"TSC"
"AIR TRANSAT";"2025";"Agosto     de 2025";"CANADA";"5,000";"839,000";"167,8000000000000114";"TSC"
"ALITALIA, SOCIETÀ AEREA ITALIA";"2022";"Noviembre  de 2022";"ESPAÑA";"0,000";NA;NA;NA
"ALITALIA, SOCIETÀ AEREA ITALIA";"2023";"Noviembre  de 2023";"ESPAÑA";"0,000";NA;NA;NA
"ALITALIA, SOCIETÀ AEREA ITALIA";"2025";"Octubre    de 2025";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Abril      de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Abril      de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Agosto     de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Diciembre  de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Diciembre  de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Enero      de 2022";"ESPAÑA";"0,000";NA;NA;NA
