"icao_aerolinea";"iata";"fecha";"hora";"vuelo";"origen";"estado";"franja_horaria";"numero_vuelo";"id";"name";"city";"country";"icao_aeropuerto";"latitude";"longitude";"altitude";"timezone";"tz";"name_aerolinea";"country_aerolinea"
"EWG";"DUS";"2025-11-13";"09:20";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Mañana";"9538";"345";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51.289501";"6.76678";"147";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"STR";"2025-11-13";"19:50";"EWG2530";"STUTTGART (STR)";"No informado";"Noche";"2530";"350";"Stuttgart Airport";"Stuttgart";"Germany";"EDDS";"48.689899444599995";"9.22196006775";"1276";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"DUS";"2025-11-11";"09:50";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Mañana";"9538";"345";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51.289501";"6.76678";"147";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"DUS";"2025-11-15";"10:45";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Mañana";"9538";"345";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51.289501";"6.76678";"147";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"DUS";"2025-11-10";"17:30";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Tarde";"9538";"345";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51.289501";"6.76678";"147";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"DUS";"2025-11-16";"08:55";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Mañana";"9538";"345";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51.289501";"6.76678";"147";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"CGN";"2025-11-09";"19:05";"EWG538";"KOELN/BONN (CGN)";"No informado";"Noche";"538";"344";"Cologne Bonn Airport";"Cologne";"Germany";"EDDK";"50.8658981323";"7.1427397728";"302";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"STR";"2025-11-16";"08:10";"EWG2530";"STUTTGART (STR)";"No informado";"Mañana";"2530";"350";"Stuttgart Airport";"Stuttgart";"Germany";"EDDS";"48.689899444599995";"9.22196006775";"1276";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"DUS";"2025-11-12";"13:05";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Tarde";"9538";"345";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51.289501";"6.76678";"147";"1";"Europe/Berlin";"Eurowings";"Germany"
"EWG";"DUS";"2025-11-14";"13:30";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Tarde";"9538";"345";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51.289501";"6.76678";"147";"1";"Europe/Berlin";"Eurowings";"Germany"
"EZS";"GVA";"2025-11-13";"12:25";"EZS1371";"GINEBRA (GVA)";"No informado";"Tarde";"1371";"1665";"Geneva Cointrin International Airport";"Geneva";"Switzerland";"LSGG";"46.23809814453125";"6.108950138092041";"1411";"1";"Europe/Paris";NA;NA
"EZS";"GVA";"2025-11-14";"14:05";"EZS1371";"GINEBRA (GVA)";"No informado";"Tarde";"1371";"1665";"Geneva Cointrin International Airport";"Geneva";"Switzerland";"LSGG";"46.23809814453125";"6.108950138092041";"1411";"1";"Europe/Paris";NA;NA
"EZS";"GVA";"2025-11-09";"20:15";"EZS1371";"GINEBRA (GVA)";"No informado";"Noche";"1371";"1665";"Geneva Cointrin International Airport";"Geneva";"Switzerland";"LSGG";"46.23809814453125";"6.108950138092041";"1411";"1";"Europe/Paris";NA;NA
"EZS";"BSL";"2025-11-10";"15:25";"EZS1031";"BASEL /MULHOUSE (BSL)";"No informado";"Tarde";"1031";"1423";"EuroAirport Basel-Mulhouse-Freiburg Airport";"Mulhouse";"France";"LFSB";"47.59";"7.5291667";"885";"1";"Europe/Paris";NA;NA
"EZS";"GVA";"2025-11-10";"14:00";"EZS1371";"GINEBRA (GVA)";"No informado";"Tarde";"1371";"1665";"Geneva Cointrin International Airport";"Geneva";"Switzerland";"LSGG";"46.23809814453125";"6.108950138092041";"1411";"1";"Europe/Paris";NA;NA
"EZS";"BSL";"2025-11-14";"16:45";"EZS1031";"BASEL /MULHOUSE (BSL)";"No informado";"Tarde";"1031";"1423";"EuroAirport Basel-Mulhouse-Freiburg Airport";"Mulhouse";"France";"LFSB";"47.59";"7.5291667";"885";"1";"Europe/Paris";NA;NA
"EZY";"LGW";"2025-11-12";"20:45";"EZY8013";"LONDRES /GATWICK (LGW)";"No informado";"Noche";"8013";"502";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51.148102";"-0.190278";"202";"0";"Europe/London";"easyJet";"United Kingdom"
