Fecha,Hora,Vuelo,Origen,Estado,Aerolinea,Pais_Aerolinea,Aeropuerto,Ciudad,Pais_Origen,IATA,ICAO_Cia,PAX_Estimado,Franja_Horaria
2025-11-09,20:30,RYR3488,LANZAROTE CÉSAR MANRIQUE (ACE),No informado,RYANAIR DAC,Ireland,Lanzarote Airport,Arrecife,Spain,ACE,RYR,170,Noche
2025-11-09,20:35,WMT6045,ROMA /FIUMICINO (FCO),No informado,Wizz Air Malta,Malta,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,WMT,198,Noche
2025-11-09,20:40,RYR1736,LONDRES /STANSTED (STN),No informado,RYANAIR DAC,Ireland,London Stansted Airport,London,United Kingdom,STN,RYR,170,Noche
2025-11-09,20:50,RYR2985,BRUSELAS (BRU),No informado,RYANAIR DAC,Ireland,Brussels Airport,Brussels,Belgium,BRU,RYR,170,Noche
2025-11-09,20:50,EZY6499,LONDRES /GATWICK (LGW),No informado,easyJet,United Kingdom,London Gatwick Airport,London,United Kingdom,LGW,EZY,NA,Noche
2025-11-09,21:10,RYR7267,TREVISO/S.ANGELO (MIL) (TSF),No informado,RYANAIR DAC,Ireland,NA,NA,NA,MIL,RYR,170,Noche
2025-11-09,21:15,RYR7470,MILAN /MALPENSA (MXP),No informado,RYANAIR DAC,Ireland,Malpensa International Airport,Milano,Italy,MXP,RYR,170,Noche
2025-11-09,21:20,TVS1054,PRAGA (PRG),No informado,Travel Service,Czech Republic,Václav Havel Airport Prague,Prague,Czech Republic,PRG,TVS,118,Noche
2025-11-09,21:35,RYR645,MALAGA-COSTA DEL SOL (AGP),No informado,RYANAIR DAC,Ireland,Málaga Airport,Malaga,Spain,AGP,RYR,170,Noche
2025-11-09,21:40,ANE8052,(GRX),No informado,Air Nostrum,Spain,Federico Garcia Lorca Airport,Granada,Spain,GRX,ANE,60,Noche
2025-11-09,21:50,VLG3954,PALMA DE MALLORCA (PMI),No informado,Vueling Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,VLG,152,Noche
2025-11-09,22:00,IBE2376,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado,Iberia Airlines,Spain,Barcelona International Airport,Barcelona,Spain,BCN,IBE,1,Noche
2025-11-09,22:20,IBE2441,MENORCA (MAH),No informado,Iberia Airlines,Spain,Menorca Airport,Menorca,Spain,MAH,IBE,1,Noche
2025-11-09,22:40,RYR6325,LONDRES /STANSTED (STN),No informado,RYANAIR DAC,Ireland,London Stansted Airport,London,United Kingdom,STN,RYR,170,Noche
2025-11-09,22:55,RYR1611,BARI /PALESE (BRI),No informado,RYANAIR DAC,Ireland,Bari Karol Wojtyła Airport,Bari,Italy,BRI,RYR,170,Noche
2025-11-09,23:00,KLM1535,AMSTERDAM /SCHIPHOL (AMS),No informado,KLM Royal Dutch Airlines,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,KLM,101,Noche
2025-11-09,23:10,AFR1492,PARIS /CHARLES DE GAULLE (CDG),No informado,Air France,France,Charles de Gaulle International Airport,Paris,France,CDG,AFR,80,Noche
2025-11-09,23:25,IBE2431,IBIZA (IBZ),No informado,Iberia Airlines,Spain,Ibiza Airport,Ibiza,Spain,IBZ,IBE,1,Noche
2025-11-09,23:30,TAP1096,LISBOA (LIS),No informado,TAP Portugal,Portugal,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,TAP,77,Noche
2025-11-09,23:35,IBE2380,MALAGA-COSTA DEL SOL (AGP),No informado,Iberia Airlines,Spain,Málaga Airport,Malaga,Spain,AGP,IBE,1,Noche
2025-11-09,23:35,RYR7201,GRAN CANARIA (LPA),No informado,RYANAIR DAC,Ireland,Gran Canaria Airport,Gran Canaria,Spain,LPA,RYR,170,Noche
2025-11-10,00:05,IBE1083,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Iberia Airlines,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,IBE,1,Madrugada
2025-11-10,00:10,RYR3791,BRUSELAS /CHARLEROI (CRL),No informado,RYANAIR DAC,Ireland,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,RYR,170,Madrugada
2025-11-10,00:15,IBE2404,PALMA DE MALLORCA (PMI),No informado,Iberia Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,IBE,1,Madrugada
2025-11-10,00:20,VLG8350,AMSTERDAM /SCHIPHOL (AMS),No informado,Vueling Airlines,Spain,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,VLG,152,Madrugada
2025-11-10,00:25,RYR4728,MILAN/BERGAMO (BGY),No informado,RYANAIR DAC,Ireland,Il Caravaggio International Airport,Bergamo,Italy,BGY,RYR,170,Madrugada
2025-11-10,00:35,VLG8921,BRUSELAS (BRU),No informado,Vueling Airlines,Spain,Brussels Airport,Brussels,Belgium,BRU,VLG,152,Madrugada
2025-11-10,00:55,RYR1772,DUBLIN (DUB),No informado,RYANAIR DAC,Ireland,Dublin Airport,Dublin,Ireland,DUB,RYR,170,Madrugada
2025-11-10,07:45,SWR2130,GINEBRA (GVA),No informado,Swiss International Air Lines,Switzerland,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,SWR,134,Mañana
2025-11-10,08:00,RYR1003,ROMA /FIUMICINO (FCO),No informado,RYANAIR DAC,Ireland,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,RYR,170,Mañana
2025-11-10,08:05,AEA4063,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Air Europa,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,AEA,102,Mañana
2025-11-10,08:15,IBE2382,MALAGA-COSTA DEL SOL (AGP),No informado,Iberia Airlines,Spain,Málaga Airport,Malaga,Spain,AGP,IBE,1,Mañana
2025-11-10,08:20,RYR1848,MEMMINGEN (FMM),No informado,RYANAIR DAC,Ireland,Memmingen Allgau Airport,Memmingen,Germany,FMM,RYR,170,Mañana
2025-11-10,08:40,VOE3536,BILBAO (BIO),No informado,VOLOTEA Airways,Spain,Bilbao Airport,Bilbao,Spain,BIO,VOE,150,Mañana
2025-11-10,08:45,VLG3950,PALMA DE MALLORCA (PMI),No informado,Vueling Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,VLG,152,Mañana
2025-11-10,08:45,RYR802,VIENA (VIE),No informado,RYANAIR DAC,Ireland,Vienna International Airport,Vienna,Austria,VIE,RYR,170,Mañana
2025-11-10,09:00,RYR4728,MILAN/BERGAMO (BGY),No informado,RYANAIR DAC,Ireland,Il Caravaggio International Airport,Bergamo,Italy,BGY,RYR,170,Mañana
2025-11-10,09:05,WZZ2385,BUDAPEST (BUD),No informado,Wizz Air,Hungary,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,WZZ,196,Mañana
2025-11-10,09:05,IBE1079,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Iberia Airlines,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,IBE,1,Mañana
2025-11-10,09:05,RYR4741,POZNAN /LAWICA (POZ),No informado,RYANAIR DAC,Ireland,Poznań-Ławica Airport,Poznan,Poland,POZ,RYR,170,Mañana
2025-11-10,09:10,EJU5103,BERLIN BRANDENBURG (BER),No informado,EasyJet,United Kingdom,NA,NA,NA,BER,EJU,159,Mañana
2025-11-10,09:10,IBE2433,IBIZA (IBZ),No informado,Iberia Airlines,Spain,Ibiza Airport,Ibiza,Spain,IBZ,IBE,1,Mañana
2025-11-10,09:15,RYR2206,SEVILLA (SVQ),No informado,RYANAIR DAC,Ireland,Sevilla Airport,Sevilla,Spain,SVQ,RYR,170,Mañana
2025-11-10,09:35,TRA5105,EINDHOVEN (EIN),No informado,Transavia Holland,Netherlands,Eindhoven Airport,Eindhoven,Netherlands,EIN,TRA,162,Mañana
2025-11-10,09:55,TRA6337,AMSTERDAM /SCHIPHOL (AMS),No informado,Transavia Holland,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,TRA,162,Mañana
2025-11-10,09:55,RYR1714,NANTES-ATLANTIQUE (NTE),No informado,RYANAIR DAC,Ireland,Nantes Atlantique Airport,Nantes,France,NTE,RYR,170,Mañana
2025-11-10,10:15,RYR1444,MILAN /MALPENSA (MXP),No informado,RYANAIR DAC,Ireland,Malpensa International Airport,Milano,Italy,MXP,RYR,170,Mañana
2025-11-10,10:55,THY1301,ESTAMBUL (IST),No informado,Turkish Airlines,Turkey,Istanbul Airport,Istanbul,Turkey,IST,THY,139,Mañana
2025-11-10,11:10,EZY8009,LONDRES /GATWICK (LGW),No informado,easyJet,United Kingdom,London Gatwick Airport,London,United Kingdom,LGW,EZY,NA,Mañana
2025-11-10,11:10,TAP1092,LISBOA (LIS),No informado,TAP Portugal,Portugal,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,TAP,77,Mañana
